"Your search '<strong>%1</strong>' did not match any products.","Su búsqueda '<strong>%1</strong>' no concuerda con ningún producto."
"Did you mean:","Quiso decir:"
"Showing results using some of your search terms","Mostrando resultados utilizando algunos de sus términos de búsqueda"
"Search Spell Correction","Corrección ortográfica de la búsqueda"
"Enable spell correction","Habilitar corrección ortográfica"
"Enable fallback search","Habilittar búsqueda de respaldo ante fallo"
"Search Spell-Correction","Corrección ortográfica de búsqueda"
"Rebuild search spell-correction words index","Reconstruir índice de palabras de corrección ortográfica de búsqueda"
Dictionary successfully processed.
