"Create Permanent Redirect for old URL","Crear una redirección permanente para la vieja URL"
"Invalid URL key","Clave URL inválida"
"Category URL Suffix","Sufijo de la URL de Categoría"
"You need to refresh the cache.","Necesita Refrescar el Caché."
"Product URL Suffix","Sufijo de la URL de Producto"
"Use Categories Path for Product URLs","Usar Ruta de Categorías para URLs de Producto"
"Create Permanent Redirect for URLs if URL Key Changed","Crear Redirección permanente para URLs si la Clave de URL Cambió"
